uid,namedLocation,domainID,siteID,plotID,plotType,startDate,collectDate,samplingProtocolVersion,sampleID,sampleCode,kclSampleID,kclSampleCode,incubationPairID,nTransBoutType,incubationLength,extractionStartDate,kclReferenceID,soilFreshMass,kclVolume,extractionEndDate,sampleCondition,remarks,processedBy,recordedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
a3987b68-5f09-4773-89b2-538eff23fbb9,HEAL_046.basePlot.bgc,D19,HEAL,HEAL_046,tower,2021-06-22T19:51:00Z,2021-06-22T19:51:00Z,NEON.DOC.014048vN,HEAL_046-M-1.5-29-20210622,A00000307201,HEAL_046-M-1.5-29-20210622-KCL,B00000127417,HEAL_046-M-1.5-29,tInitial,0,2021-06-23T22:53:00Z,HEAL-20210623-BRef1,9.73,100,2021-06-24T00:00:00Z,OK,NA,0000-0002-2117-4697,0000-0003-3744-1769,NA,20251217T193958Z,RELEASE-2026,DP1.10086.001,HEAL,2021,ntr_internalLab
fdb397af-2659-4dff-875f-e0c757b636c7,HEAL_046.basePlot.bgc,D19,HEAL,HEAL_046,tower,2021-06-22T19:51:00Z,2021-06-22T19:51:00Z,NEON.DOC.014048vN,HEAL_046-O-1.5-29-20210622,A00000307217,HEAL_046-O-1.5-29-20210622-KCL,B00000127416,HEAL_046-O-1.5-29,tInitial,0,2021-06-23T22:59:00Z,HEAL-20210623-BRef1,9.99,100,2021-06-24T01:00:00Z,OK,NA,0000-0002-2117-4697,0000-0003-3744-1769,NA,20251217T193958Z,RELEASE-2026,DP1.10086.001,HEAL,2021,ntr_internalLab
ea9dc8dd-835f-4e8b-9d06-4448d7024d28,HEAL_046.basePlot.bgc,D19,HEAL,HEAL_046,tower,2021-06-22T20:28:00Z,2021-06-22T20:28:00Z,NEON.DOC.014048vN,HEAL_046-O-8.5-7-20210622,A00000307218,HEAL_046-O-8.5-7-20210622-KCL,B00000127414,HEAL_046-O-8.5-7,tInitial,0,2021-06-23T22:58:00Z,HEAL-20210623-BRef1,10.26,100,2021-06-24T00:00:00Z,OK,NA,0000-0002-2117-4697,0000-0003-3744-1769,NA,20251217T193958Z,RELEASE-2026,DP1.10086.001,HEAL,2021,ntr_internalLab
c3c5fd9d-9630-468b-aed9-66e702e264ba,HEAL_046.basePlot.bgc,D19,HEAL,HEAL_046,tower,2021-06-22T20:28:00Z,2021-06-22T20:28:00Z,NEON.DOC.014048vN,HEAL_046-M-8.5-7-20210622,A00000307202,HEAL_046-M-8.5-7-20210622-KCL,B00000127418,HEAL_046-M-8.5-7,tInitial,0,2021-06-23T22:49:00Z,HEAL-20210623-BRef1,9.76,100,2021-06-24T00:00:00Z,OK,NA,0000-0002-2117-4697,0000-0003-3744-1769,NA,20251217T193958Z,RELEASE-2026,DP1.10086.001,HEAL,2021,ntr_internalLab
795ffc80-e633-4142-8c63-f0cd4d8aee2d,HEAL_046.basePlot.bgc,D19,HEAL,HEAL_046,tower,2021-06-22T20:39:00Z,2021-06-22T20:39:00Z,NEON.DOC.014048vN,HEAL_046-M-32.5-29.5-20210622,A00000307200,HEAL_046-M-32.5-29.5-20210622-KCL,B00000127419,HEAL_046-M-32.5-29.5,tInitial,0,2021-06-23T22:56:00Z,HEAL-20210623-BRef1,10.34,100,2021-06-24T00:00:00Z,OK,NA,0000-0002-2117-4697,0000-0003-3744-1769,NA,20251217T193958Z,RELEASE-2026,DP1.10086.001,HEAL,2021,ntr_internalLab
57b32db7-1c6d-480c-9c64-1f7ce46ab343,HEAL_046.basePlot.bgc,D19,HEAL,HEAL_046,tower,2021-06-22T20:39:00Z,2021-06-22T20:39:00Z,NEON.DOC.014048vN,HEAL_046-O-32.5-29.5-20210622,A00000307357,HEAL_046-O-32.5-29.5-20210622-KCL,B00000127415,HEAL_046-O-32.5-29.5,tInitial,0,2021-06-23T22:53:00Z,HEAL-20210623-BRef1,10.12,100,2021-06-24T01:00:00Z,OK,NA,0000-0002-2117-4697,0000-0003-3744-1769,NA,20251217T193958Z,RELEASE-2026,DP1.10086.001,HEAL,2021,ntr_internalLab
ffbbccd1-3d5f-4980-9c0f-5bd1a1901ee2,HEAL_047.basePlot.bgc,D19,HEAL,HEAL_047,tower,2021-06-22T21:55:00Z,2021-06-22T21:55:00Z,NEON.DOC.014048vN,HEAL_047-O-30-36.5-20210622,A00000307183,HEAL_047-O-30-36.5-20210622-KCL,B00000127420,HEAL_047-O-30-36.5,tInitial,0,2021-06-23T22:48:00Z,HEAL-20210623-BRef1,9.91,100,2021-06-24T00:00:00Z,OK,NA,0000-0002-2117-4697,0000-0003-3744-1769,NA,20251217T193958Z,RELEASE-2026,DP1.10086.001,HEAL,2021,ntr_internalLab
84fa624a-f413-48a5-aa09-53f6fc764054,HEAL_047.basePlot.bgc,D19,HEAL,HEAL_047,tower,2021-06-22T21:55:00Z,2021-06-22T21:55:00Z,NEON.DOC.014048vN,HEAL_047-M-30-36.5-20210622,A00000307181,HEAL_047-M-30-36.5-20210622-KCL,B00000127425,HEAL_047-M-30-36.5,tInitial,0,2021-06-23T22:55:00Z,HEAL-20210623-BRef1,10.02,100,2021-06-24T01:00:00Z,OK,NA,0000-0002-2117-4697,0000-0003-3744-1769,NA,20251217T193958Z,RELEASE-2026,DP1.10086.001,HEAL,2021,ntr_internalLab
c297aa97-4cc2-4761-87ea-84dc80dfad58,HEAL_047.basePlot.bgc,D19,HEAL,HEAL_047,tower,2021-06-22T22:02:00Z,2021-06-22T22:02:00Z,NEON.DOC.014048vN,HEAL_047-O-36.5-11.5-20210622,A00000307182,HEAL_047-O-36.5-11.5-20210622-KCL,B00000127422,HEAL_047-O-36.5-11.5,tInitial,0,2021-06-23T22:59:00Z,HEAL-20210623-BRef1,9.86,100,2021-06-24T01:00:00Z,OK,NA,0000-0002-2117-4697,0000-0003-3744-1769,NA,20251217T193958Z,RELEASE-2026,DP1.10086.001,HEAL,2021,ntr_internalLab
86756306-a431-484d-be84-bcf19504c767,HEAL_047.basePlot.bgc,D19,HEAL,HEAL_047,tower,2021-06-22T22:02:00Z,2021-06-22T22:02:00Z,NEON.DOC.014048vN,HEAL_047-M-36.5-11.5-20210622,A00000307169,HEAL_047-M-36.5-11.5-20210622-KCL,B00000127424,HEAL_047-M-36.5-11.5,tInitial,0,2021-06-23T22:54:00Z,HEAL-20210623-BRef1,10.35,100,2021-06-24T01:00:00Z,OK,NA,0000-0002-2117-4697,0000-0003-3744-1769,NA,20251217T193958Z,RELEASE-2026,DP1.10086.001,HEAL,2021,ntr_internalLab
